address,company,conditions,date,description,duty,experience,name,requirements,salaryMAX,salaryMIN,schedule,skills,type_of_employment,url
Челябинск,АВАНГРАД-УРАЛ,,14 октября 2020," Что должен уметь делать: Умение выслушать сотрудника с проблемой, и решить ее в максимально короткий срок. Администрирование VMware ESXi 6.5 (на котором 10 ВМ), бекап с него делается Veeam Backup. Администрирование Win2008 на уровне прав пользователей и RDP (AD, DNS, VPN - нету). Администрирование 1С 8.3 на уровне конфигурации (Установить, Обновить, Продвинутый пользователь) - сейчас она Файловая, но возможно придем к SQL. Обновление сертификатов подписи для ЭДО (КриптоПро, СБИС, Контур). Администрирование IP АТС FreePBX 12/14 на уровне ""поковыряться в конфигах"" для нестандартных решений (50 транков от 7 разных операторов, 60 IP телефонов, GoIP шлюз, 2 GSM модема). Настройка сетевого оборудования Mikrotik (VPN, NAT, фаервол). Настройка системы IP видеонаблюдения Tantos, Hikvision. Все выше перечисленное необходимо знать на уровне ""развернуть с нуля"". Администрирование CRM Битрикс24 (облако)(интеграции, отчеты, пользователи) - настроена интеграция с Asterisk и ВАТС Мегафон. Работа с Мегафон ВАТС, и претензиями на ее качество. Обслуживание парка ПК 20шт в Челябинске, еще 40шт удаленно в других регионах. Все железо Новое (Core i3, 4/8Gb, SSD, 22"" IPS). Настройка и обслуживание 60 IP телефонов Yealink, 13шт из которых в Челябинске. Обслуживание МФУ HP, Kayocera, Canon на уровне вызвать заправщика картриджей, заменить картридж, почистить, устранить проблему если ее возможно решить в офисе. О нас Компания занимается оптоворозничной торговлей отделочными материалами, в частности Подвесные потолки. На рынке более 10 лет. 3 года назад переехали в новый большой офис, чистый, светлый, с кондиционерами. В Челябинске у нас головной офис, а так же 7 небольших офисов в других городах РФ (начинаю с Юга и заканчиваю Сибирью). Работаем пятидневку с 9-18 часов, по адресу ул. Чайковского, д. 169 (2 этаж) Ищем сотрудника в штат на полный рабочий день. ",,1–3 года,Системный администратор (it-специалист),,,40000,полный день,"Asterisk,VMware,VMware ESXi,FreePBX,Администрирование серверов Windows,Обучение персонала,Битрикс24",Полная занятость,https://tyumen.hh.ru/vacancy/39297873
Челябинск,Лаборатория системных технологий,"испытательный срок 3 мес.,постоянная работа в центре Челябинска,белая зарплата выше рынка",7 октября 2020, Обязанности: Программирование UI Создание анимаций и встраивание дизайна Программирование логики интерфейса с использованием MVC Разработка прототипов игр Требования: Опыт разработки Желание работать Условия: испытательный срок 3 мес. постоянная работа в центре Челябинска белая зарплата выше рынка ,,1–3 года,Программист-разработчик,,120000,80000,полный день,"Английский — A1 — Начальный,Тестирование пользовательского интерфейса,Английский язык,JavaScript,MVC",Полная занятость,https://tyumen.hh.ru/vacancy/38870082
Магнитогорск,Магнитогорский металлургический комбинат,,29 сентября 2020," Продуктовая команда системы электронного документооборота «АТАЧ» растет вместе с активным развитием проекта, и сейчас мы в поиске продуктового UX/UI дизайнера! Очень ждем ваших откликов со ссылками на портфолио. Задачи: • Проектирование дизайн-архитектуры продукта, варфреймов и навигации, UX и UI интерфейсов системы (административной панели, личного кабинета, Desktop-приложения, приложения под iOS и Android); • Разработка и сопровождение технического задания для разработчиков; • Контроль качества решений и продукта на разных этапах; • Исследование задач и процессов текущих и потенциальных пользователей (совместно с Product Manager); • Контроль качества реализации интерфейсов разработчиками; • Перевод количественных данных и качественных инсайтов в UX и UI решения; • Составление гайдов и спецификации для разработчиков; • Участие в пользовательских исследованиях. Требования: • Высшее образование; • Опыт работы с дизайном интерфейсов продуктов от 3х лет; • Понимание эргономики, композиции, верстки; • Опыт построения User Flow и CJM; • Наличие портфолио с реализованными проектами; • Опыт работы в основных дизайнерских инструментах (Sketch/Figma); • Применение аналитики и исследований при решении задач; • Понимание отличия UI Kit от библиотеки. Мы предлагаем: • Оформление по ТК РФ; • График работы 5/2 (возможно удаленная работа); • Молодой, энергичный и профессиональный коллектив; • Возможность расти и развиваться в команде профессионалов. З/п по итогам собеседования ",,3–6 лет,Продуктовый UX/UI дизайнер / Дизайнер интерфейсов,,,,полный день,"UX,UI,Дизайн интерфейсов,Adobe Photoshop,Проектирование пользовательских интерфейсов",Полная занятость,https://tyumen.hh.ru/vacancy/39507108
Горьковская,Займиго МФК,,6 октября 2020," Zaymigo — это современная FinTech компания на рынке онлайн кредитования. Наша команда разработала собственную платформу с автоматической системой принятия решения. Мы используем самые последние мировые решения в области IT, для постоянного усовершенствования нашей online-площадки. Мы ищем PHP developer ’ a , который дополнит нашу команду и ускорит разработку проектов. Бонусы: Бесплатное питание на рабочем месте; Комплектация рабочего места по вашим требованиям; Премирование за решение сложных задач; Поездки на ключевые события IT рынка. Технологии, используемые в проекте: Git , Jira , Clickhouse , Docker , Percona , MongoDB , Doctrine , Zend Framework , Symfony , RabbitMQ , Go , Gitlab CI / CD , Laravel . Какие текущие задачи необходимо решать: разработка новых сервисов и доработка существующих; написание интеграций с различными партнерами, такими как: платежные шлюзы, партнеры по идентификации, БКИ и пр.; разработка скоринговых моделей для оценки эффективности внутренних процессов компании. написание новых сервисов, реализация и модификация скоринговой модели и системы принятия решений по заёмщикам; оптимизация запросов изучение новых технологий и предложение их внедрения команде; участие в ежедневных митингах. Мы ждем от соискателя: опытом работы с PHP от 2-х лет; знание основ DDD , понимание принципов ООП, SOLID ; знать и уметь один из фреймворков Laravel/Symfony/ZF 2+ ; знание MySQL (обязательно) ; уверенное знание ОС Linux; знание и умение работать с GIT , DOCKER ; умение разбираться в чужом коде и работать с полной самоотдачей. Дополнительные пожелания: знание GO (Golang) ; знание ClickHouse ; опыт работы с нереляционными БД. Ваши возможности в компании: стабильная заработная плата - обсуждается с каждым соискателем индивидуально по итогам собеседования; программа поддержки релокации для сотрудников из других городов; официальное трудоустройство по ТК РФ; 8-часовой рабочий день по будням; возможность делать крутые финансовые проекты и получать экспертизу на финансовом рынке; работа в комфортабельном офисе в центре Нижнего Новгорода (пл. Сенная). Благодарим Вас за интерес, проявленный к нашей вакансии! Срок рассмотрения резюме в нашей Компании составляет до 5 рабочих дней с момента получения. ",,1–3 года,Middle PHP Developer / web-разработчик,,,80000,полный день,"MySQL,Zend Framework,Git,ООП,MongoDB,Symfony,PHP,Linux",Полная занятость,https://tyumen.hh.ru/vacancy/39660265
Челябинск,Группа Компаний Мечел,,6 октября 2020," В команду Отдела поддержки программного обеспечения 1С приглашаем Специалистов/Консультантов. Интересные задачи, работа в крупном горно-металлургическом холдинге в профессиональной команде. Рассматриваем кандидатов в разных регионах России. Задачи: прием обращений от пользователей по работе системы; консультации пользователей по работе системы; решение возникающих проблем. Требования: опыт работы с системой 1С 8.3 - возможно, в качестве пользователя; как преимущество; опыт работы с 1С Управление холдингом; хорошее знание предметной области - казначейство. Условия: полное соблюдение ТК РФ, оформление в штат компании; уровень заработной платы обсуждается по итогам собеседования. ",,1–3 года,Консультант отдела поддержки 1С УХ,"опыт работы с системой 1С 8.3 - возможно, в качестве пользователя;,как преимущество; опыт работы с 1С Управление холдингом;,хорошее знание предметной области - казначейство.",,,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/39663108
Челябинск,Сеть Салонов Ювелирных Украшений САМОЦВЕТЫ,"Своевременная стабильная заработная плата,Официальное трудоустройство;,Возможность профессионального роста;,График 5/2. Занятость - полная;",9 октября 2020," Требуемый опыт работы: 1–3 года Полная занятость, полный день Обязанности: Техническая поддержка в базе 1С Техническая поддержка пользователей 1С Организация слаженной и бесперебойной работы оборудования Максимально полная автоматизация рабочих процессов Требования: Опыт работы с программой 1С Знание азов бухгалтерского, управленческого и складского учета Умение работать в команде Условия: Своевременная стабильная заработная плата Официальное трудоустройство; Возможность профессионального роста; График 5/2. Занятость - полная; ","Техническая поддержка в базе 1С,Техническая поддержка пользователей 1С,Организация слаженной и бесперебойной работы оборудования,Максимально полная автоматизация рабочих процессов",1–3 года,Специалист технической поддержки 1С,"Опыт работы с программой 1С,Знание азов бухгалтерского, управленческого и складского учета,Умение работать в команде",,27000,полный день,Техническая поддержка 1С,Полная занятость,https://tyumen.hh.ru/vacancy/39730305
Челябинск,741 Studios,,17 сентября 2020," Currently we are looking for a detail-oriented smart Senior Business Analyst . You will play the main role in linking our information technology capacity and our business objectives. Your main goal will be to support and ensure the successful completion of analytical, building, testing and deployment tasks. About Exadel: Since 1998 Exadel has been engineering its own software products and custom software for clients of all sizes. Headquartered in Walnut Creek, California, Exadel currently has 1000+ employees in development centers across America, Europe and Asia. About the Project: The Project deals with broadcasting of Court sitting. Strong developers that can make good choices on behalf of the client, and communicate those choices effectively are wanted. On the front end we would use React or Angular. The team should evaluate several 3rd Party Video services, and see which is the best fit. Microsoft Azure or Amazon Web Services would be used for hosting the production environment. Both have Canadian Data Centers. Using Canadian Products, and Services is strongly encouraged Requirements: Minimum of 3 + years experience in business analysis or a related field Exceptional analytical and conceptual thinking skills Ability to influence stakeholders and work closely with them to determine acceptable solutions Advanced technical skills Excellent documentation skills Fundamental analytical and conceptual thinking skills Experience creating detailed reports and giving presentations Competency in Microsoft applications including Word, Excel, and Outlook Excellent planning, organizational, and time management skills Understanding of requirements, its different types, and stages (elicitation, analysis, documentation, validation and management) Understanding the full software development lifecycle English level : С1 Responsibilities: Be a proxy between product owners, development team and project leaders, helping to improve development team effectiveness Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions Leading ongoing reviews of business processes and developing optimization strategies Staying up-to-date on the latest process and IT advancements to automate and modernize systems Documenting and communicating the results of your efforts Effectively communicating your insights and plans to cross-functional team members and management Gathering critical information from meetings with various stakeholders and producing useful reports Ensuring solutions meet business needs and requirements Prioritizing initiatives based on business needs and requirements Monitoring deliverables and ensuring timely completion of projects Benefits: Attractive salary — we reward your commitment to our company Personal development — we understand that life-long learning is important and support everything that encourages a personal willingness to learn Language classes with a native speaker Flexible work schedule — a good work-life balance is the most important prerequisite for being creative and productive Friendly work environment Interesting job in an innovative company with the latest technologies Collaboration with a team full of interesting people As a successful, high-growth company, we know that our employees are critical to our success. This is why we encourage ingenuity, creativity and teamwork as important elements to the growth of our business. We believe that career growth and business growth go hand in hand. ",,более 6 лет,Senior Business Analyst,,,,полный день,"Английский — C1 — Продвинутый,Project management,Analytical skills,Organization Skills",Полная занятость,https://tyumen.hh.ru/vacancy/39284754
Челябинск,Everypixel group,,22 сентября 2020," Кто мы Everypixel — это международная команда креаторов и разработчиков. В 2005 году мы начали со съемки фотографий для стоков, а теперь выстраиваем универсальную экосистему для авторов цифрового контента. В числе проектов компании: — Поисковик-флагман everypixel; — Известная нейросеть Aesthetics, оценивающая красоту снимков; — Школа-акселератор «Корпус» для начинающих стартаперов в сфере IT; — Продакшн-студии от Санкт-Петербурга до Вьетнама. Наш офис мечты находится в Челябинске. Здесь мы работаем над новаторскими продуктами, обсуждаем идеи и помогаем развиваться специалистам. Да, у нас есть искусственный интеллект — но прежде всего мы ценим твой. Кого мы ищем? Талантливого разработка backend логики на С++. Чем ты будешь заниматься: Освоение технологической платформы компании. Понимание критериев оценки эффективности реализации задач и проектов. Освоение внутренних требований и стандартов разработки. Выполнение задач в указанные сроки. Сбор и анализ данных эффективности реализованного проекта или задачи. Использование системы ведения проектов. Что для нас важно: Опыт создания ПО от 1 года; хорошее знание С/С++ (STL); опыт работы с МySQL; HTML, желательно - sphinx;. Знание Linux подобных систем; опыт работы с системами контроля версий, в частности с Git. Будет плюсом: Знание скриптовых языков программирования, что-то из: bash, perl, python, php, ruby. Знание принципов SOLID. Знание шаблонов проектирования. Что мы предлагаем: Интересные задачи на большом проекте. Работу в международной компании с надежным финансированием. Возможность расти профессионально и работать в команде высококвалифицированных специалистов. Достойную заработную плату по результатам собеседования. Оформление по ТК РФ. Гибкий график работы с возможностью совмещать работу с обучением. Отличный офис в центре г. Челябинска в БЦ “Павловский” (Труда). ОБРАЩЕНИЕ К КАНДИДАТАМ Мы являемся уникальной интернет-компанией, так как разрабатываем собственные проекты и продвигаем их на мировом рынке. Это дает возможность нашим программистам работать над сложными задачами, применять различные технологии и расти профессионально, получая бесценный опыт. У нас много интересных задач, поэтому приглашаем Вас стать частью команды! ",,1–3 года,Программист С++,,,,полный день,"C++,Linux,HTML,Python,MySQL,CSS",Полная занятость,https://tyumen.hh.ru/vacancy/39368872
"Челябинск,Горелова, 12",Челябинский кузнечно-прессовый завод (ЧКПЗ),,8 октября 2020," Обязанности: Определение масштаба работ для выполнения задач проекта Определение и документирование взаимосвязи между отдельными задачами Оценка времени, необходимого для завершения проекта, составление критического пути Разработка целей, задач проекта, доведение проекта до конца Разработка и составление плана нового проекта, определение точек, в которых будет осуществляться контроль Определение количества и стоимости ресурсов, необходимых для ведения проекта Разработка схемы взаимодействия между участниками проекта Организация и проведение собраний рабочей группы Контроль за объёмом выполняемых работ и оценка возможных отклонений от плана на ход выполнения проекта Разработка технико-экономического обоснования проекта Расчет бюджета проекта Формирование рабочей группы проекта Определение профессиональных навыков, необходимых при выполнении задач членам рабочей группы Контроль за подготовкой необходимых документов Осуществление управления информацией Контроль за своевременным выполнением задач сотрудниками Контроль изменения бюджета проекта Корректировка плана работ и согласование вносимых изменений с членами рабочей группы Обеспечение своевременного предоставления информации всем участникам проекта Осуществление программного сопровождения конфигураций 1С Модификация и обновление существующих объектов конфигураций 1С Создание новых объектов конфигураций 1С Знание методологии ведения учёта в типовых конфигурациях 1С Разработка эффективной архитектуры решения проекта внутри конфигураций 1С Знание основ бухгалтерского, налогового, финансового учёта Требования: - опыт работы руководителем проектов/системным аналитиком /архитектором/ведущим программистом 1С:8.2/8.3 от 3 лет обязателен; - образование высшее техническое/экономическое; - дополнительное образование по конфигурациям 1С приветствуется; - знание типовых решений 1С (УПП, 1С ДО, ERP2.4, БП3, ЗУП3, УТ11, КА, УХ, БИТ-ФИНАНС) Условия: Оформление по ТК РФ (официальная з/п 2 раза в месяц на карту банка, оплачиваемый больничный лист и отпуск); ",,3–6 лет,Руководитель проекта 1С,,,100000,полный день,"1С: Управление Производственным Предприятием,1С программирование,1С: Управление Торговлей",Полная занятость,https://tyumen.hh.ru/vacancy/39704380
Магнитогорск,Смарт ПО,,22 сентября 2020," Обязанности: Консультирование пользователей программ 1С по телефону, почте и в режиме удаленного доступа; Установка обновлений платформы и конфигураций 1С клиентам компании; Установка и настройка дополнительных сервисов (1С:Отчётность, 1С:Подпись, 1С:ЭДО и другие); Демонстрация и презентация информационной системы 1С:ИТС и сервисов; Обработка обращений от клиентов по телефону и электронной почте, отслеживание подключений; Решение технических проблем клиентов. Требования: Высшее или среднее техническое образование (ИВТ, основы программирования, прикладная информатика, бухгалтерский учет и пр); Уверенное владение ПК на уровне техника (установка и настройка программного обеспечения); Интерес к информационным технологиям, коммуникабельность; Ответственность, нацеленность на результат; Наличие сертификатов 1С приветствуется. Условия: Работа в динамично развивающейся IT- компании 1С:Франчайзи; Обучение за счет компании; Комфортабельный офис; График работы понедельник – пятница, с 8.00 до 17.00 или с 09:00 до 18:00; Трудоустройство в соответствии с ТК РФ; Оплата: оклад + % бонус от выполненных работ; Неотъемлемой частью работы является постоянное обучение и повышение квалификации. ",,не требуется,Специалист-консультант 1С,,50000,25000,полный день,"Консультирование,1С программирование,1С: Предприятие 8,1C: Бухгалтерия,1С: Документооборот,1С: Розница,Обновление конфигурации 1С,Консультирование клиентов,Консультативные продажи",Полная занятость,https://tyumen.hh.ru/vacancy/39368788
Челябинск,Союз-Игрушка,,15 октября 2020," Союз игрушка – крупная оптово-розничная компания, представленная в филиалах Екатеринбурга, Челябинска, Магнитогорска, Тюмени и Казахстане. В 1996 году компания начала серьезно заниматься продажей детских игрушек на территории России - именно этот год и считается годом основания компании. Свою главную задачу мы видим в том, чтобы представлять для наших любимых покупателей широкий ассортимент продукции: детских игрушек, творчество, канцелярия, линейка детской одежды и обуви. Для достижения нашей цели и успешного развития компании мы привлекаем на работу сотрудников, мечтающих о динамичной профессии и готовых реализовывать свои идеи. Нам нужны ответственные, доброжелательные, умеющие работать в команде сотрудники. Если Вы считаете себя именно таким, и Вас не испугать интенсивным рабочим днем, тогда отправляйте свой отклик! Чем придется заниматься? <ol> Помощь сотрудникам компании в освоении ПО «1С: Комплексная автоматизация». Работа с обращениями сотрудников по вопросам работы программы. Настройка ролей и прав пользователей. </ol> Что нужно? <ol> Умение работать с людьми. Знание программы «1С: Комплексная автоматизация». Опыт работы не важен, главное умение и желание работать в программе 1С. </ol> Мы предлагаем: <ol> График работы 5/2 с 9:00 до 18:00, выходные - сб., вс. Своевременную стабильную заработную плату (на испыт.сроке 25 000 руб, после испыт.срока 30 000 руб). Рабочее место: Троицкий тракт 76Б (ТК Усадьба). Приобретение товара по ценам оптовиков. Подарки Вашим детям на Новый год и 1 сентября первоклассникам; Комфортное рабочее место (кулер, холодильник, микроволновка). Активную корпоративную жизнь. Просторную автопарковку, если вы на своем транспорте. Бесплатная доставка служебным транспортом на работу и с работы из различных районов города (ЧТЗ, Ленинский, Северо-запад). </ol> ",,1–3 года,Специалист технической поддержки,,30000,25000,полный день,"Работа с людьми,1С: Комплексная автоматизация",Полная занятость,https://tyumen.hh.ru/vacancy/39736696
Челябинск,Digital Partners Global,"Полное соблюдение ТК РФ,Официальные зарплата и премии (выплата 2 раза в месяц),Премии по результатам работы,Работа над интересными, перспективными проектами,Молодой, продвинутый коллектив,Офис в бизнес центре класса А,График работы: полная занятость, 5 дней в неделю (понедельник-пятница),Заработная плата по результатам собеседования",14 октября 2020," Обязательные требования/опыт: Знание HTML, CSS и JavaScript Опыт работы с HTML5 Canvas API Умение синхронизировать работу различных частей кода Знание SVG Знание принципов ООП и их применение на практике Умение оптимизировать скорость работы сайта Мы в поисках людей, которые: Стремятся сделать работу качественно и с энтузиазмом относятся к своему делу Обладают высоким уровнем ответственности за свои результаты и за результаты команды Способны планировать время Следуют договоренностям Серьёзно относятся к дедлайнам Нацелены на развитие Умеют работать в команде Условия работы: Полное соблюдение ТК РФ Официальные зарплата и премии (выплата 2 раза в месяц) Премии по результатам работы Работа над интересными, перспективными проектами Молодой, продвинутый коллектив Офис в бизнес центре класса А График работы: полная занятость, 5 дней в неделю (понедельник-пятница) Заработная плата по результатам собеседования Отправляйте ваше резюме по адресу электронной почты, указанному в контактах. Удалённая работа по данной вакансии не рассматривается. ",,1–3 года,Web Developer / Разработчик,,90000,50000,полный день,"JavaScript,CSS3,jQuery,HTML5",Полная занятость,https://tyumen.hh.ru/vacancy/39398826
Челябинск,АТМ АЛЬЯНС,,15 октября 2020," «АТМ АЛЬЯНС» - торгово-сервисная компания , специализируется на продаже и комплексном сервисном обслуживании кассового, банковского и технологического оборудования. На протяжении 11 лет работы, компания зарекомендовала себя как надежный партнер многих крупных российских и зарубежных банков. Компания работает по направлениям: сервисное обслуживание банкоматов, ремонт и обслуживание POS-терминалов, ремонт кассового оборудования. Должностные обязанности: 1. Выполнение поставленных задач, плановых показателей, KPI 2. Активные продажи оборудования, услуг, сервиса, приложений, РКО 3. Работа с клиентской базой, входящим потоком 4. Выставление счетов, подготовка закрывающих документов (УПД, акт выполненных работ) 5. Заключение договоров поставки и на сервис 6. Контроль оплаты 7. Отгрузка оборудования 8. Отчетность, ведение CRM 9. Контроль остатков. Требования: <ol> С опытом удалённых продаж. Знание компьютера на уровне уверенного пользователя. Коммуникабельность, грамотная устная и письменная речь. Опыт консультирования и сопровождения клиентов. Ответственность, стрессоустойчивость </ol> Для комфортной деятельности Вам потребуется : 1. Персональный компьютер\ноутбук. 2. Программное обеспечение: Word, excel, PowerPoint, skype, zoom, Pdf, WhatsApp, Telegram. 3. Гарнитура 4. Мышь 5. Клавиатура 6. Интернет соединение: проводной интернет или wifi c пропускной способностью от 50 мбит/с 7. Смартфон на андроид выше 6 версии или iphone. Предоставляем: <ol> Первичное обучение в течение 7 дней. Настройку оборудования и доступа. Первичное взаимодействие с клиентом под наблюдением наставника. </ol> Условия: <ol> Своевременная оплата труда; Мотивация - % от продаж По территории: РФ График работы 5/2, с 09-18 ч. </ol> Зарплата зависит от Вашего желания зарабатывать, ограничений НЕТ! Информацию о деятельности компании вы легко можете найти в сети интернет (ищется по запросу «атм альянс»). ",,1–3 года,Менеджер по продажам (home office),,,30000,удаленная работа,"Активные продажи,CRM,Грамотная речь,Пользователь ПК",Полная занятость,https://tyumen.hh.ru/vacancy/39530460
Челябинск,Сетера,,7 октября 2020," Обязанности: <ol> Поддержание в рабочем состоянии и администрирование серверного и сетевого оборудования Администрирование корпоративного ПО (в т.ч. специализированного и нестандартного) Администрирование Web-систем и сайтов Поддержка IP-телефонии. Поддержка систем видеонаблюдения и СКУД. Обеспечение информационной безопасности Помощь техническим специалистам (техникам) в решении сложных и нестандартных задач Взаимодействие с провайдерами различных ИТ-услуг, подбор и закуп оборудования Ведение инвентаризационных списков техники обслуживаемых организаций (состав, техническое состояние), составление планов обновления и модернизации оборудования Участие в разработке и реализации ИТ-проектов (монтажи СКС, развертывание оборудования, внедрение ПО и пр.) </ol> Требования: Высшее образование (техническое или в сфере ИТ) Приветствуются специализированные курсы в сфере поддержки применяемого на предприятии ИТ оборудования и ПО Знания: Microsoft Windows (серверные и клиентские платформы) Виртуализация на базе Hyper-V и VMware. Microsoft Active Directory. Microsoft Exchange Server. Microsoft SQL-Server. IP-телефония на базе Asterisk. Администрирование платформы 1С Умения и навыки: Знание компьютерного и серверного «железа», умение собирать, настраивать различное оборудование. Профессиональные знания технологий Microsoft, умение настраивать серверы «с нуля», а также разбираться с возникающими ошибками. Желателен опыт работы с отказоустойчивыми кластерами и системами хранения данных среднего уровня, а также с системами на базе VMWare Практические навыки работы с SQL-Server Знание принципов работы основных сетевых протоколов всех уровней. Умение настраивать гетерогенные распределенные сети, а также VLAN, STP, OSPF, QoS, IPSec VPN и пр. на оборудовании различных производителей (в основном CISCO, D-Link, NetGear, Microtik) Знание принципов работы IP-телефонии и практические навыки ее настройки на базе Asterisk Желательно знакомство с IP-телефонией на базе Oktell и Yeastar, а также умение настраивать аналоговые АТС уровня Panasonic TDA-100/200 Знания среднего уровня в области ОС на базе Linux. Умение поднять Linux-сервер «с нуля» и настроить на нем базовые сервисы. Обеспечить работу нескольких Web-сайтов и систем на сервере Умение настраивать и контролировать FireWall, IPSec. системы контроля и безопасности на операционных системах (Windows, Linux) и оборудовании (CISCO, D-Link) Навыки работы и централизованного администрирования Kaspersky Internet Security (рабочие станции, сервера, почтовые службы). Опыт работ с Microsoft Exchange Server 2010, 2013 и выше Опыт работы с программными системами резервного копирования (Veeam, Acronis). Умение и желание при необходимости работать «руками» Знание английского языка на уровне чтения и понимания технической документации, а также письменного общения со службами технической поддержки Условия: Оклад 45 000 руб. на руки. Оклад на испытательный срок – 40 000 руб. на руки. Оплата проезда и сотовой связи. ДМС. Доплаты за сверхурочную работу и участие в ИТ-проектах. Компания предоставляет бесплатно обед, чай, кофе. Пятидневная рабочая неделя: с 8:30 до 17:30. При проведении регламентных работ и в аварийных ситуациях – дополнительно в нерабочее время по ситуации Выезды в пределах г. Челябинска по местам расположения оборудования при необходимости. Командировки в г. Чебаркуль. ","Высшее образование (техническое или в сфере ИТ),Приветствуются специализированные курсы в сфере поддержки применяемого на предприятии ИТ оборудования и ПО,Знания: Microsoft Windows (серверные и клиентские платформы),Виртуализация на базе Hyper-V и VMware. Microsoft Active Directory. Microsoft Exchange Server. Microsoft SQL-Server. IP-телефония на базе Asterisk.,Администрирование платформы 1С,Умения и навыки: Знание компьютерного и серверного «железа», умение собирать, настраивать различное оборудование. Профессиональные знания технологий Microsoft, умение настраивать серверы «с нуля», а также разбираться с возникающими ошибками. Желателен опыт работы с отказоустойчивыми кластерами и системами хранения данных среднего уровня, а также с системами на базе VMWare,Практические навыки работы с SQL-Server,Знание принципов работы основных сетевых протоколов всех уровней. Умение настраивать гетерогенные распределенные сети, а также VLAN, STP, OSPF, QoS, IPSec VPN и пр. на оборудовании различных производителей (в основном CISCO, D-Link, NetGear, Microtik),Знание принципов работы IP-телефонии и практические навыки ее настройки на базе Asterisk,Желательно знакомство с IP-телефонией на базе Oktell и Yeastar, а также умение настраивать аналоговые АТС уровня Panasonic TDA-100/200,Знания среднего уровня в области ОС на базе Linux. Умение поднять Linux-сервер «с нуля» и настроить на нем базовые сервисы. Обеспечить работу нескольких Web-сайтов и систем на сервере,Умение настраивать и контролировать FireWall, IPSec. системы контроля и безопасности на операционных системах (Windows, Linux) и оборудовании (CISCO, D-Link),Навыки работы и централизованного администрирования Kaspersky Internet Security (рабочие станции, сервера, почтовые службы). Опыт работ с Microsoft Exchange Server 2010, 2013 и выше,Опыт работы с программными системами резервного копирования (Veeam, Acronis).,Умение и желание при необходимости работать «руками»,Знание английского языка на уровне чтения и понимания технической документации, а также письменного общения со службами технической поддержки",3–6 лет,Ведущий системный администратор,,45000,45000,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/36156207
